Main Ship Speed,Lead Times,Lead Times Category,Average Unit Price,# Units Sold,Gross Revenue,Total Costs,Gross Margin,Branded,Brand Awareness,Source
Large Parcel,3,72 Hours,1073,437,468901,361869,0.2282614027268016,N,0.0,Current
Small Parcel,4,Less Than 1 Week,537,1168,627216,533987,0.1486393841993826,Y,0.02,Potential
Small Parcel,6,Less Than 1 Week,3059,1097,3355723,3135956,0.0654902088164011,N,0.0,Potential
Large Parcel,7,1-2 Weeks,904,483,436632,373776,0.1439564667729346,Y,0.05,Potential
Small Parcel,22,3-4 Weeks,1458,2747,4005126,3051816,0.2380224741993135,N,0.0,Current
Large Parcel,26,3-4 Weeks,5903,345,2036535,1562052,0.2329854385021617,Y,0.15,Potential
Small Parcel,9,1-2 Weeks,801,714,571914,473719,0.1716953947621495,Y,0.09,Potential
Large Parcel,11,1-2 Weeks,1882,1702,3203164,3019976,0.0571897036804859,N,0.0,Potential
Small Parcel,20,2-3 Weeks,1745,1876,3273620,2829122,0.1357817950770095,N,0.0,Potential
Small Parcel,14,2-3 Weeks,908,1037,941596,850714,0.0965191016104571,N,0.0,Potential
Small Parcel,9,1-2 Weeks,266,1885,501410,427855,0.1466963163877864,N,0.0,Current
Small Parcel,3,72 Hours,311,510,158610,150318,0.0522791753357291,Y,0.17,Potential
Large Parcel,1,24 Hours,938,731,685678,631320,0.0792762783697304,Y,0.03,Potential
Large Parcel,3,72 Hours,1503,1944,2921832,2627879,0.1006057158659361,Y,0.01,Current
Small Parcel,3,72 Hours,214,396,84744,78929,0.068618427263287,N,0.0,Current
Large Parcel,11,1-2 Weeks,4060,513,2082780,1691386,0.1879190312947118,N,0.0,Potential
Large Parcel,2,48 Hours,821,751,616571,569644,0.0761096451179182,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,574,1409,808766,671864,0.169272694450558,Y,0.05,Current
Small Parcel,2,48 Hours,685,1902,1302870,1204160,0.0757635067197801,Y,0.01,Potential
Small Parcel,2,48 Hours,773,611,472303,396880,0.1596919773958666,N,0.0,Potential
Small Parcel,1,24 Hours,939,445,417855,319726,0.2348398367854877,N,0.0,Potential
Small Parcel,12,1-2 Weeks,844,1048,884512,762281,0.1381903241561448,N,0.0,Current
Small Parcel,7,1-2 Weeks,333,707,235431,181449,0.2292901104782292,N,0.0,Potential
Small Parcel,24,3-4 Weeks,1117,1018,1137106,1072866,0.0564942934080024,Y,0.02,Potential
Large Parcel,6,Less Than 1 Week,1496,675,1009800,882540,0.1260249554367201,N,0.0,Current
Large Parcel,15,2-3 Weeks,102,160,16320,13866,0.1503676470588235,N,0.0,Potential
Large Parcel,1,24 Hours,963,207,199341,172559,0.1343526921205371,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,1202,376,451952,388505,0.1403843771019931,Y,0.09,Potential
Small Parcel,19,2-3 Weeks,420,927,389340,329784,0.1529665587918015,N,0.0,Potential
Small Parcel,15,2-3 Weeks,2166,1137,2462742,2164799,0.1209801919973752,Y,0.02,Potential
Large Parcel,4,Less Than 1 Week,575,108,62100,55056,0.1134299516908212,N,0.0,Potential
Large Parcel,2,48 Hours,816,1023,834768,657546,0.2123009027657984,Y,0.18,Potential
Large Parcel,17,2-3 Weeks,442,1548,684216,519222,0.2411431477778947,Y,0.18,Potential
Large Parcel,13,1-2 Weeks,629,811,510119,383954,0.2473246438576097,N,0.0,Potential
Small Parcel,16,2-3 Weeks,1118,262,292916,244353,0.1657915579893211,Y,0.12,Potential
Small Parcel,1,24 Hours,75,253,18975,15862,0.1640579710144927,Y,0.04,Potential
Small Parcel,11,1-2 Weeks,5063,1273,6445199,5983697,0.0716039954701165,N,0.0,Current
Large Parcel,1,24 Hours,1466,1653,2423298,1855843,0.2341664128802978,Y,0.13,Current
Small Parcel,18,2-3 Weeks,610,214,130540,107739,0.1746667688064961,Y,0.38,Potential
Small Parcel,1,24 Hours,574,297,170478,137353,0.1943065967456211,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,360,435,156600,125996,0.1954278416347382,N,0.0,Current
Large Parcel,14,2-3 Weeks,547,1746,955062,749034,0.2157221206581352,N,0.0,Potential
Small Parcel,13,1-2 Weeks,720,2249,1619280,1233117,0.2384782125389062,Y,0.11,Potential
Large Parcel,5,Less Than 1 Week,1679,1048,1759592,1329145,0.2446288685104274,Y,0.01,Potential
Large Parcel,4,Less Than 1 Week,75,2696,202200,168184,0.1682294757665677,Y,0.03,Potential
Small Parcel,21,3-4 Weeks,144,97,13968,10744,0.2308132875143184,N,0.0,Potential
Large Parcel,2,48 Hours,366,649,237534,219012,0.077976205511632,Y,0.3,Potential
Small Parcel,5,Less Than 1 Week,260,276,71760,55371,0.228386287625418,Y,0.03,Potential
Large Parcel,18,2-3 Weeks,500,181,90500,83810,0.0739226519337016,N,0.0,Potential
Small Parcel,19,2-3 Weeks,938,1969,1846922,1443922,0.2182008769184621,Y,0.01,Potential
Small Parcel,9,1-2 Weeks,573,76,43548,40692,0.0655828051804904,Y,0.02,Current
Large Parcel,3,72 Hours,151,50,7550,6328,0.1618543046357616,Y,0.02,Potential
Large Parcel,25,3-4 Weeks,846,425,359550,314885,0.1242247253511333,N,0.0,Current
Small Parcel,26,3-4 Weeks,965,65,62725,55921,0.1084734954165006,Y,0.01,Current
Large Parcel,6,Less Than 1 Week,75,906,67950,57345,0.1560706401766004,Y,0.03,Potential
Small Parcel,2,48 Hours,2019,1432,2891208,2205565,0.2371475867526653,Y,0.07,Current
Small Parcel,11,1-2 Weeks,1969,50,98450,82804,0.1589233113255459,Y,0.24,Potential
Small Parcel,2,48 Hours,572,62,35464,27660,0.2200541394089781,N,0.0,Potential
Small Parcel,18,2-3 Weeks,736,256,188416,156295,0.1704791525135869,N,0.0,Current
Large Parcel,1,24 Hours,487,775,377425,349486,0.0740253030403391,Y,0.05,Current
Large Parcel,2,48 Hours,1112,2231,2480872,2232220,0.1002276618866269,N,0.0,Potential
Large Parcel,2,48 Hours,913,575,524975,458585,0.1264631649126149,Y,0.17,Potential
Small Parcel,13,1-2 Weeks,323,1034,333982,268075,0.1973369822325754,Y,0.05,Potential
Large Parcel,2,48 Hours,2136,2060,4400160,4022048,0.0859314206756118,N,0.0,Potential
Large Parcel,11,1-2 Weeks,337,2137,720169,576616,0.1993323789277239,Y,0.07,Current
Small Parcel,16,2-3 Weeks,2538,62,157356,129811,0.1750489336282061,N,0.0,Potential
Small Parcel,1,24 Hours,1574,4500,7083000,6174513,0.1282630241423125,Y,0.05,Current
Large Parcel,18,2-3 Weeks,723,321,232083,202012,0.1295700245170908,Y,0.02,Potential
Large Parcel,1,24 Hours,1151,263,302713,261257,0.136948198458606,Y,0.02,Potential
Small Parcel,23,3-4 Weeks,245,389,95305,83431,0.124589475893185,Y,0.01,Potential
Small Parcel,27,3-4 Weeks,359,267,95853,84123,0.122374886545022,Y,0.06,Potential
Small Parcel,22,3-4 Weeks,4201,1638,6881238,6312805,0.0826062112660541,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,211,1045,220495,168454,0.2360189573459715,N,0.0,Current
Large Parcel,5,Less Than 1 Week,346,360,124560,107575,0.1363599871547848,N,0.0,Potential
Large Parcel,14,2-3 Weeks,2462,1620,3988440,3063175,0.2319866915385464,N,0.0,Current
Small Parcel,1,24 Hours,1098,1133,1244034,1103392,0.113053180218547,N,0.0,Potential
Small Parcel,13,1-2 Weeks,2416,2982,7204512,6387298,0.1134308611048187,N,0.0,Current
Large Parcel,13,1-2 Weeks,658,545,358610,313001,0.1271827333314743,Y,0.01,Potential
Small Parcel,9,1-2 Weeks,315,50,15750,13139,0.1657777777777777,Y,0.02,Current
Small Parcel,25,3-4 Weeks,1356,974,1320744,1182085,0.1049855233111034,Y,0.36,Potential
Small Parcel,8,1-2 Weeks,916,3306,3028296,2518473,0.168353093620967,N,0.0,Potential
Large Parcel,26,3-4 Weeks,1664,1434,2386176,1872370,0.2153261117369381,Y,0.01,Potential
Large Parcel,3,72 Hours,1099,2619,2878281,2360264,0.1799744361304542,N,0.0,Current
Small Parcel,23,3-4 Weeks,1286,537,690582,597858,0.1342693554132601,N,0.0,Potential
Large Parcel,2,48 Hours,1383,2309,3193347,2846835,0.1085106003199777,N,0.0,Potential
Small Parcel,2,48 Hours,75,125,9375,8038,0.1426133333333333,N,0.0,Potential
Large Parcel,24,3-4 Weeks,231,1011,233541,183754,0.2131831241623526,N,0.0,Potential
Small Parcel,19,2-3 Weeks,339,1458,494262,435858,0.1181640506452043,Y,0.1,Potential
Large Parcel,1,24 Hours,854,299,255346,214907,0.158369428148473,Y,0.02,Potential
Small Parcel,15,2-3 Weeks,1145,1624,1859480,1579609,0.1505103577344203,Y,0.02,Potential
Small Parcel,20,2-3 Weeks,1006,50,50300,41707,0.1708349900596421,Y,0.05,Potential
Large Parcel,2,48 Hours,2893,73,211189,172028,0.1854310593828277,Y,0.02,Potential
Large Parcel,12,1-2 Weeks,785,3852,3023820,2284426,0.2445231528331712,Y,0.01,Potential
Large Parcel,3,72 Hours,442,2592,1145664,1056135,0.0781459485503603,N,0.0,Potential
Large Parcel,3,72 Hours,713,3874,2762162,2107538,0.2369969610761425,N,0.0,Current
Large Parcel,21,3-4 Weeks,1736,463,803768,681406,0.1522354709319107,Y,0.15,Potential
Small Parcel,13,1-2 Weeks,247,1367,337649,280370,0.1696406623446241,N,0.0,Potential
Large Parcel,2,48 Hours,1663,260,432380,344047,0.2042948332485313,Y,0.02,Potential
Small Parcel,2,48 Hours,398,1010,401980,375165,0.0667072988705905,Y,0.04,Potential
Large Parcel,24,3-4 Weeks,264,336,88704,80719,0.0900184884559884,N,0.0,Current
Large Parcel,1,24 Hours,3746,188,704248,545843,0.2249278663198191,Y,0.1,Potential
Small Parcel,6,Less Than 1 Week,2475,706,1747350,1426957,0.1833593727644719,Y,0.03,Current
Large Parcel,7,1-2 Weeks,398,145,57710,51405,0.1092531623635418,Y,0.01,Current
Small Parcel,11,1-2 Weeks,1680,3371,5663280,5271864,0.0691147179726236,Y,0.03,Potential
Large Parcel,23,3-4 Weeks,797,925,737225,667503,0.0945735698056902,Y,0.36,Potential
Large Parcel,12,1-2 Weeks,284,332,94288,72365,0.2325110300356355,N,0.0,Potential
Small Parcel,10,1-2 Weeks,851,1255,1068005,929795,0.129409506509801,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,2338,988,2309944,1849861,0.1991749583539687,Y,0.05,Potential
Large Parcel,2,48 Hours,467,465,217155,203352,0.0635628928645437,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,1095,3237,3544515,3103830,0.1243287163405994,Y,0.12,Potential
Large Parcel,2,48 Hours,125,574,71750,56630,0.2107317073170731,N,0.0,Potential
Small Parcel,17,2-3 Weeks,75,581,43575,41329,0.0515433161216293,N,0.0,Potential
Large Parcel,2,48 Hours,91,928,84448,77962,0.0768046608563849,N,0.0,Potential
Large Parcel,3,72 Hours,710,1380,979800,917203,0.0638875280669524,Y,0.05,Potential
Large Parcel,13,1-2 Weeks,1917,2412,4623804,4297212,0.0706327517342863,Y,0.02,Potential
Large Parcel,3,72 Hours,2828,220,622160,509139,0.1816590587630191,Y,0.07,Potential
Large Parcel,2,48 Hours,140,124,17360,16318,0.0600230414746543,Y,0.02,Current
Large Parcel,4,Less Than 1 Week,123,134,16482,12858,0.2198762286130324,Y,0.69,Potential
Large Parcel,20,2-3 Weeks,1158,2648,3066384,2471121,0.1941253932971213,Y,0.0,Potential
Large Parcel,23,3-4 Weeks,133,1031,137123,124526,0.0918664264930026,N,0.0,Potential
Small Parcel,3,72 Hours,75,1038,77850,72857,0.0641361592806679,Y,0.01,Current
Small Parcel,2,48 Hours,891,1187,1057617,884850,0.16335497632886,Y,0.03,Potential
Large Parcel,25,3-4 Weeks,494,1933,954902,874484,0.0842159719007814,N,0.0,Potential
Small Parcel,20,2-3 Weeks,1305,1305,1703025,1284719,0.2456252844203696,N,0.0,Potential
Large Parcel,1,24 Hours,2316,358,829128,630253,0.2398604316824422,Y,0.04,Potential
Small Parcel,3,72 Hours,75,51,3825,2954,0.2277124183006535,Y,0.02,Potential
Small Parcel,21,3-4 Weeks,1521,2304,3504384,2636105,0.2477693654576667,Y,0.04,Potential
Small Parcel,5,Less Than 1 Week,75,917,68775,64243,0.0658960378044347,N,0.0,Potential
Small Parcel,2,48 Hours,428,1462,625736,503013,0.1961258422082156,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,659,2394,1577646,1183318,0.2499470730442697,Y,0.02,Potential
Small Parcel,6,Less Than 1 Week,75,290,21750,17274,0.2057931034482758,N,0.0,Current
Small Parcel,2,48 Hours,1711,442,756262,597040,0.2105381468327114,N,0.0,Current
Small Parcel,10,1-2 Weeks,249,1482,369018,326924,0.1140703163531318,Y,0.01,Potential
Large Parcel,5,Less Than 1 Week,75,422,31650,28212,0.1086255924170616,N,0.0,Potential
Large Parcel,1,24 Hours,1336,244,325984,260867,0.1997552027093354,Y,0.04,Potential
Large Parcel,3,72 Hours,2913,910,2650830,2068576,0.2196496946239479,N,0.0,Current
Small Parcel,13,1-2 Weeks,231,406,93786,79757,0.1495852259399057,Y,0.02,Potential
Large Parcel,18,2-3 Weeks,773,1397,1079881,853444,0.2096869932890753,Y,0.03,Potential
Large Parcel,19,2-3 Weeks,944,882,832608,684872,0.177437641723356,Y,0.03,Potential
Small Parcel,2,48 Hours,364,1901,691964,609722,0.1188530039134983,Y,0.01,Potential
Small Parcel,11,1-2 Weeks,1743,1613,2811459,2242589,0.2023397815867135,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,436,630,274680,250493,0.0880551914955584,Y,0.01,Potential
Small Parcel,23,3-4 Weeks,767,402,308334,271179,0.1205024421568818,Y,0.05,Potential
Large Parcel,14,2-3 Weeks,1607,683,1097581,958052,0.127124102913589,Y,0.19,Current
Large Parcel,24,3-4 Weeks,1495,452,675740,631856,0.0649421375085091,N,0.0,Current
Large Parcel,13,1-2 Weeks,1846,1709,3154814,2761147,0.1247829507539905,Y,0.28,Potential
Large Parcel,15,2-3 Weeks,517,273,141141,107756,0.2365365131322578,Y,0.13,Potential
Large Parcel,11,1-2 Weeks,1158,1124,1301592,1234522,0.0515292042360432,N,0.0,Current
Large Parcel,9,1-2 Weeks,690,593,409170,334094,0.1834836376078402,N,0.0,Potential
Small Parcel,5,Less Than 1 Week,1921,514,987394,762929,0.2273307311974753,Y,0.05,Current
Large Parcel,2,48 Hours,2512,1647,4137264,3705109,0.1044542963659075,N,0.0,Potential
Small Parcel,24,3-4 Weeks,249,2055,511695,410907,0.1969688974877612,N,0.0,Current
Small Parcel,3,72 Hours,75,830,62250,57876,0.0702650602409638,Y,0.17,Potential
Small Parcel,23,3-4 Weeks,1289,284,366076,315798,0.1373430653744031,Y,0.05,Potential
Small Parcel,3,72 Hours,2128,424,902272,716352,0.2060575968222442,Y,0.2,Potential
Small Parcel,1,24 Hours,367,3043,1116781,1010897,0.0948117849426163,N,0.0,Potential
Large Parcel,17,2-3 Weeks,2936,461,1353496,1190125,0.1207029795433455,N,0.0,Current
Large Parcel,4,Less Than 1 Week,691,1082,747662,681136,0.0889787096308224,N,0.0,Current
Large Parcel,3,72 Hours,401,724,290324,227037,0.2179874898389385,N,0.0,Current
Small Parcel,12,1-2 Weeks,2069,1440,2979360,2751693,0.076414733365555,Y,0.04,Potential
Small Parcel,1,24 Hours,75,108,8100,7308,0.0977777777777777,N,0.0,Potential
Large Parcel,2,48 Hours,454,50,22700,18486,0.1856387665198237,N,0.0,Current
Small Parcel,26,3-4 Weeks,204,1443,294372,270030,0.0826912885736415,Y,0.06,Potential
Large Parcel,2,48 Hours,1805,416,750880,599471,0.2016420733006605,Y,0.19,Potential
Small Parcel,1,24 Hours,97,3714,360258,277179,0.2306097296937195,N,0.0,Potential
Small Parcel,14,2-3 Weeks,381,50,19050,17301,0.0918110236220472,Y,0.04,Current
Large Parcel,1,24 Hours,430,1018,437740,412732,0.0571298030794535,N,0.0,Potential
Small Parcel,6,Less Than 1 Week,952,3302,3143504,2497400,0.2055362423588454,Y,0.14,Potential
Small Parcel,1,24 Hours,223,212,47276,38142,0.1932058549792706,Y,0.15,Current
Large Parcel,3,72 Hours,2968,3421,10153528,9627792,0.0517786527008149,N,0.0,Potential
Large Parcel,1,24 Hours,704,442,311168,235896,0.2419014808720691,N,0.0,Potential
Large Parcel,13,1-2 Weeks,1046,1415,1480090,1318856,0.1089352674499523,N,0.0,Potential
Small Parcel,2,48 Hours,616,156,96096,89043,0.0733953546453546,Y,0.01,Potential
Large Parcel,16,2-3 Weeks,75,2044,153300,117912,0.2308414872798434,N,0.0,Current
Small Parcel,2,48 Hours,1087,50,54350,41099,0.2438086476540938,N,0.0,Potential
Small Parcel,18,2-3 Weeks,771,196,151116,120728,0.2010905529526986,N,0.0,Potential
Small Parcel,8,1-2 Weeks,889,1568,1393952,1138891,0.1829768887307453,Y,0.03,Current
Small Parcel,27,3-4 Weeks,188,2861,537868,498327,0.0735143194984643,N,0.0,Potential
Small Parcel,1,24 Hours,1546,1556,2405576,2018587,0.1608716581808265,N,0.0,Potential
Large Parcel,10,1-2 Weeks,489,3295,1611255,1309628,0.1872000397205904,Y,0.07,Potential
Small Parcel,1,24 Hours,324,649,210276,172887,0.1778091650973007,N,0.0,Potential
Small Parcel,19,2-3 Weeks,877,1578,1383906,1119200,0.1912745518843042,N,0.0,Potential
Small Parcel,14,2-3 Weeks,307,828,254196,224593,0.1164573793450723,Y,0.06,Current
Large Parcel,20,2-3 Weeks,412,576,237312,220077,0.0726259101941747,Y,0.02,Potential
Large Parcel,3,72 Hours,344,424,145856,127366,0.1267688679245283,N,0.0,Potential
Large Parcel,1,24 Hours,3518,5308,18673544,14739849,0.2106560490070872,N,0.0,Current
Small Parcel,3,72 Hours,710,1172,832120,777058,0.0661707446041436,Y,0.01,Potential
Small Parcel,20,2-3 Weeks,768,1397,1072896,865643,0.1931715655571462,Y,0.01,Potential
Large Parcel,2,48 Hours,2125,55,116875,93708,0.1982203208556149,N,0.0,Potential
Small Parcel,6,Less Than 1 Week,493,503,247979,189277,0.2367216578823207,Y,0.06,Potential
Small Parcel,6,Less Than 1 Week,223,779,173717,152908,0.1197867796473574,Y,0.05,Potential
Small Parcel,3,72 Hours,496,562,278752,237548,0.1478159797956606,N,0.0,Potential
Small Parcel,2,48 Hours,848,538,456224,378143,0.1711461913446026,N,0.0,Potential
Small Parcel,2,48 Hours,566,1224,692784,538861,0.2221803621330746,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,257,2212,568484,513706,0.0963580329437591,Y,0.24,Potential
Large Parcel,8,1-2 Weeks,295,1325,390875,370477,0.0521854812919731,Y,0.04,Potential
Small Parcel,2,48 Hours,559,937,523783,425103,0.1883986307306651,N,0.0,Current
Small Parcel,25,3-4 Weeks,2789,1942,5416238,4746862,0.1235868881685036,Y,0.09,Potential
Small Parcel,1,24 Hours,2005,1442,2891210,2513339,0.1306964903967543,Y,0.06,Potential
Small Parcel,27,3-4 Weeks,613,295,180835,159210,0.1195841512981447,Y,0.02,Potential
Large Parcel,2,48 Hours,1311,1508,1976988,1648891,0.1659580128963858,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,1469,433,636077,507734,0.2017727413504969,Y,0.02,Current
Large Parcel,1,24 Hours,1060,307,325420,276762,0.1495236924589761,Y,0.06,Current
Large Parcel,6,Less Than 1 Week,342,127,43434,36705,0.1549247133581986,Y,0.0,Potential
Small Parcel,27,3-4 Weeks,131,489,64059,58907,0.0804258574126976,Y,0.05,Potential
Small Parcel,11,1-2 Weeks,305,1567,477935,366616,0.2329166099992677,N,0.0,Potential
Large Parcel,1,24 Hours,2450,198,485100,448023,0.0764316635745207,N,0.0,Potential
Small Parcel,1,24 Hours,1103,365,402595,345936,0.1407344850283784,N,0.0,Potential
Large Parcel,3,72 Hours,741,368,272688,253910,0.0688625828786011,Y,0.3,Potential
Small Parcel,5,Less Than 1 Week,1347,309,416223,336192,0.192279138827023,N,0.0,Potential
Small Parcel,6,Less Than 1 Week,1794,565,1013610,781912,0.2285869318574205,N,0.0,Potential
Small Parcel,4,Less Than 1 Week,2312,1767,4085304,3414274,0.1642546062667551,N,0.0,Potential
Large Parcel,10,1-2 Weeks,2577,706,1819362,1621571,0.1087144834288063,N,0.0,Potential
Large Parcel,8,1-2 Weeks,513,1243,637659,604108,0.0526158965842244,Y,0.03,Potential
Large Parcel,16,2-3 Weeks,75,1255,94125,88441,0.0603877822045152,Y,0.03,Current
Large Parcel,6,Less Than 1 Week,322,321,103362,96742,0.0640467483214334,N,0.0,Potential
Large Parcel,3,72 Hours,1420,2220,3152400,2410763,0.235261070930085,N,0.0,Potential
Large Parcel,9,1-2 Weeks,402,203,81606,74426,0.0879837266867632,N,0.0,Current
Large Parcel,1,24 Hours,253,407,102971,80768,0.2156238164143302,N,0.0,Potential
Large Parcel,2,48 Hours,217,329,71393,54196,0.2408779572226969,Y,0.48,Potential
Small Parcel,4,Less Than 1 Week,459,839,385101,307292,0.2020482938242175,Y,0.02,Potential
Small Parcel,2,48 Hours,616,3614,2226224,1861116,0.1640032629241262,N,0.0,Potential
Small Parcel,1,24 Hours,427,210,89670,80024,0.1075722092115534,Y,0.01,Potential
Large Parcel,3,72 Hours,927,821,761067,593733,0.2198676332044353,Y,0.09,Current
Small Parcel,5,Less Than 1 Week,1114,1342,1494988,1314697,0.1205969546243849,Y,0.01,Potential
Small Parcel,3,72 Hours,109,2901,316209,281713,0.1090924040745203,N,0.0,Potential
Large Parcel,18,2-3 Weeks,161,393,63273,58678,0.0726218134117238,N,0.0,Potential
Large Parcel,22,3-4 Weeks,1237,903,1117011,991831,0.1120669357777139,Y,0.05,Potential
Large Parcel,14,2-3 Weeks,946,1305,1234530,948317,0.2318396474771775,N,0.0,Potential
Large Parcel,13,1-2 Weeks,1345,594,798930,740492,0.0731453318813913,N,0.0,Current
Large Parcel,2,48 Hours,1446,889,1285494,1161643,0.0963450626762941,Y,0.02,Potential
Small Parcel,3,72 Hours,634,171,108414,82866,0.2356522220377442,N,0.0,Potential
Small Parcel,24,3-4 Weeks,1147,1230,1410810,1302176,0.0770011553646486,N,0.0,Potential
Large Parcel,6,Less Than 1 Week,537,3495,1876815,1689299,0.0999118186928386,Y,0.03,Potential
Small Parcel,3,72 Hours,348,479,166692,144190,0.1349914812948431,Y,0.02,Potential
Large Parcel,2,48 Hours,140,1835,256900,201527,0.2155430128454651,Y,0.2,Current
Large Parcel,19,2-3 Weeks,471,1643,773853,600133,0.2244870795874668,Y,0.03,Potential
Large Parcel,15,2-3 Weeks,846,77,65142,49607,0.2384790150747597,Y,0.02,Potential
Small Parcel,10,1-2 Weeks,283,444,125652,118985,0.0530592429885716,N,0.0,Current
Small Parcel,16,2-3 Weeks,630,90,56700,50289,0.113068783068783,N,0.0,Potential
Large Parcel,3,72 Hours,111,50,5550,5260,0.0522522522522522,N,0.0,Potential
Large Parcel,24,3-4 Weeks,75,1720,129000,103844,0.1950077519379845,Y,0.03,Potential
Large Parcel,21,3-4 Weeks,364,1850,673400,596144,0.1147252747252747,N,0.0,Current
Small Parcel,4,Less Than 1 Week,173,2524,436652,364920,0.1642772734351383,N,0.0,Potential
Small Parcel,26,3-4 Weeks,551,491,270541,226909,0.1612768489803763,Y,0.06,Potential
Small Parcel,3,72 Hours,2490,269,669810,587464,0.1229393410071512,N,0.0,Current
Small Parcel,8,1-2 Weeks,75,722,54150,48733,0.1000369344413665,N,0.0,Potential
Large Parcel,2,48 Hours,265,269,71285,62697,0.1204741530476257,N,0.0,Potential
Large Parcel,20,2-3 Weeks,1202,3940,4735880,3761476,0.2057493010802638,Y,0.01,Potential
Small Parcel,1,24 Hours,232,1447,335704,298071,0.1121017324786121,N,0.0,Potential
Large Parcel,4,Less Than 1 Week,898,539,484022,440020,0.0909090909090909,N,0.0,Current
Small Parcel,3,72 Hours,1820,266,484120,370868,0.2339337354374948,N,0.0,Current
Large Parcel,1,24 Hours,187,799,149413,112497,0.2470735478171243,Y,0.13,Potential
Small Parcel,2,48 Hours,309,493,152337,114402,0.2490202642824789,N,0.0,Potential
Small Parcel,1,24 Hours,449,971,435979,389210,0.1072735154674881,Y,0.02,Current
Large Parcel,22,3-4 Weeks,1152,978,1126656,913095,0.1895529780163599,Y,0.02,Potential
Large Parcel,17,2-3 Weeks,1624,78,126672,95469,0.2463291019325502,N,0.0,Potential
Small Parcel,17,2-3 Weeks,1724,501,863724,659370,0.2365964127429595,N,0.0,Potential
Small Parcel,22,3-4 Weeks,1885,6623,12484355,9415889,0.2457849043863299,Y,0.06,Potential
Large Parcel,2,48 Hours,782,1131,884442,822246,0.0703223049108929,Y,0.09,Potential
Small Parcel,1,24 Hours,259,423,109557,86467,0.2107578703323384,Y,0.06,Potential
Large Parcel,2,48 Hours,470,1000,470000,444028,0.0552595744680851,N,0.0,Current
Small Parcel,7,1-2 Weeks,955,600,573000,478784,0.1644258289703316,Y,0.04,Current
Small Parcel,26,3-4 Weeks,1215,671,815265,735977,0.0972542670174728,N,0.0,Current
Small Parcel,9,1-2 Weeks,420,187,78540,73387,0.0656098803157626,Y,0.01,Potential
Large Parcel,2,48 Hours,809,1158,936822,809761,0.1356298208197501,Y,0.07,Current
Large Parcel,13,1-2 Weeks,899,478,429722,371160,0.1362788035055221,Y,0.02,Current
Small Parcel,6,Less Than 1 Week,205,1402,287410,254672,0.1139069621794648,Y,0.08,Potential
Large Parcel,2,48 Hours,1535,292,448220,338564,0.2446477176386595,N,0.0,Current
Small Parcel,26,3-4 Weeks,168,61,10248,9613,0.0619633099141295,N,0.0,Potential
Small Parcel,11,1-2 Weeks,187,207,38709,35858,0.0736521222454726,N,0.0,Potential
Small Parcel,1,24 Hours,3599,1276,4592324,3914960,0.1474991747097983,N,0.0,Potential
Large Parcel,22,3-4 Weeks,221,50,11050,9484,0.1417194570135746,Y,0.03,Potential
Large Parcel,2,48 Hours,1785,1478,2638230,2184854,0.1718485499747937,N,0.0,Current
Small Parcel,17,2-3 Weeks,161,751,120911,100353,0.170025886809306,N,0.0,Potential
Large Parcel,5,Less Than 1 Week,101,153,15453,12804,0.1714230246554067,Y,0.26,Potential
Small Parcel,4,Less Than 1 Week,101,647,65347,61947,0.0520299325141169,Y,0.06,Current
Small Parcel,1,24 Hours,536,2827,1515272,1430249,0.0561107180756986,Y,0.02,Potential
Large Parcel,4,Less Than 1 Week,2965,274,812410,763127,0.0606627195627823,Y,0.01,Current
Large Parcel,17,2-3 Weeks,235,522,122670,104564,0.1475992500203798,Y,0.06,Potential
Small Parcel,6,Less Than 1 Week,417,2698,1125066,968725,0.1389616253624231,Y,0.02,Potential
Small Parcel,26,3-4 Weeks,1383,446,616818,471588,0.235450327325078,Y,0.02,Potential
Large Parcel,5,Less Than 1 Week,1096,1259,1379864,1227362,0.1105195874376025,N,0.0,Potential
Large Parcel,2,48 Hours,177,769,136113,114153,0.1613365365541866,Y,0.41,Current
Small Parcel,4,Less Than 1 Week,75,1153,86475,67318,0.2215322347499277,Y,0.07,Current
Small Parcel,1,24 Hours,534,309,165006,144680,0.1231833993915372,N,0.0,Current
Large Parcel,14,2-3 Weeks,3483,475,1654425,1510947,0.0867237862097103,Y,0.03,Potential
Small Parcel,1,24 Hours,145,2511,364095,335888,0.0774715390214092,N,0.0,Potential
Small Parcel,1,24 Hours,99,2776,274824,233319,0.1510239280412191,N,0.0,Potential
Small Parcel,15,2-3 Weeks,1609,1358,2185022,2020632,0.0752349404262291,N,0.0,Current
Small Parcel,3,72 Hours,177,411,72747,62771,0.1371328027272602,Y,0.13,Potential
Large Parcel,3,72 Hours,2749,50,137450,111621,0.1879156056747908,Y,0.22,Potential
Small Parcel,20,2-3 Weeks,1149,906,1040994,962601,0.0753059095441472,Y,0.05,Current
